JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG
28:10:15:10:46:31,-35.8199,-0.343379,0,1.37656,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:32,-36.3921,-0.343379,0,1.37122,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:33,-35.5338,-1.20168,0,1.36187,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:34,-35.2477,-0.915582,0,1.34317,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:35,-35.8199,-0.629481,0,1.3365,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:36,-35.8199,-1.48778,0,1.32315,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:37,-35.8199,-0.629481,0,1.33917,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:38,-35.5338,-0.629481,0,1.33917,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:39,-35.8199,-0.629481,0,1.35252,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:40,-36.106,-0.629481,0,1.3899,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:41,-35.8199,-0.915582,0,1.39925,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:42,-35.5338,-1.48778,0,1.40326,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:46:43,-36.3921,-0.629481,0,1.40593,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
