JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC,TR_PRESS_DERIV
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG,PSMN
13:11:15:14:20:13,-40.3975,5.66475,0,0.0600815,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.0192
13:11:15:14:20:14,-38.967,4.23424,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.94348
13:11:15:14:20:15,-38.967,4.23424,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.09317
13:11:15:14:20:16,-39.5392,5.37864,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,3.21629
13:11:15:14:20:17,-39.8253,5.09254,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,4.37873
13:11:15:14:20:18,-38.967,4.52034,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,4.46099
13:11:15:14:20:19,-38.3948,3.94814,0,0.0627537,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,4.25021
13:11:15:14:20:20,-38.1087,4.23424,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,4.8955
13:11:15:14:20:21,-39.5392,4.52034,0,0.0667572,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,6.3106
13:11:15:14:20:22,-38.6809,4.52034,0,0.0640869,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,7.06293
13:11:15:14:20:23,-39.8253,5.09254,0,0.0680924,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,6.61283
